Country Name,fin44b3.d,fin44b2.d,fin44b1.d,fin44b3.d.1,fin44b2.d.1,fin44b1.d.1,fin44b3.d.12,fin44b2.d.12,fin44b1.d.12,fin44b3.d.7,fin44b2.d.7,fin44b1.d.7,fin44b3.d.8,fin44b2.d.8,fin44b1.d.8,fin44b3.d.2,fin44b2.d.2,fin44b1.d.2,fin44b3.d.4,fin44b2.d.4,fin44b1.d.4,fin44b3.d.11,fin44b2.d.11,fin44b1.d.11,fin44b3.d.5,fin44b2.d.5,fin44b1.d.5,fin44b3.d.6,fin44b2.d.6,fin44b1.d.6,fin44b3.d.3,fin44b2.d.3,fin44b1.d.3,fin44d3.d,fin44d2.d,fin44d1.d,fin44d3.d.1,fin44d2.d.1,fin44d1.d.1,fin44d3.d.12,fin44d2.d.12,fin44d1.d.12,fin44d3.d.7,fin44d2.d.7,fin44d1.d.7,fin44d3.d.8,fin44d2.d.8,fin44d1.d.8,fin44d3.d.2,fin44d2.d.2,fin44d1.d.2,fin44d3.d.4,fin44d2.d.4,fin44d1.d.4,fin44d3.d.11,fin44d2.d.11,fin44d1.d.11,fin44d3.d.5,fin44d2.d.5,fin44d1.d.5,fin44d3.d.6,fin44d2.d.6,fin44d1.d.6,fin44d3.d.3,fin44d2.d.3,fin44d1.d.3,fin44c3.d,fin44c2.d,fin44c1.d,fin44c3.d.1,fin44c2.d.1,fin44c1.d.1,fin44c3.d.12,fin44c2.d.12,fin44c1.d.12,fin44c3.d.7,fin44c2.d.7,fin44c1.d.7,fin44c3.d.8,fin44c2.d.8,fin44c1.d.8,fin44c3.d.2,fin44c2.d.2,fin44c1.d.2,fin44c3.d.4,fin44c2.d.4,fin44c1.d.4,fin44c3.d.11,fin44c2.d.11,fin44c1.d.11,fin44c3.d.5,fin44c2.d.5,fin44c1.d.5,fin44c3.d.6,fin44c2.d.6,fin44c1.d.6,fin44c3.d.3,fin44c2.d.3,fin44c1.d.3,fin44a3.d,fin44a2.d,fin44a1.d,fin44a3.d.1,fin44a2.d.1,fin44a1.d.1,fin44a3.d.12,fin44a2.d.12,fin44a1.d.12,fin44a3.d.7,fin44a2.d.7,fin44a1.d.7,fin44a3.d.8,fin44a2.d.8,fin44a1.d.8,fin44a3.d.2,fin44a2.d.2,fin44a1.d.2,fin44a3.d.4,fin44a2.d.4,fin44a1.d.4,fin44a3.d.11,fin44a2.d.11,fin44a1.d.11,fin44a3.d.5,fin44a2.d.5,fin44a1.d.5,fin44a3.d.6,fin44a2.d.6,fin44a1.d.6,fin44a3.d.3,fin44a2.d.3,fin44a1.d.3,Country Code
Afghanistan,0.69,16.79,82.52,0.95,14.29,84.76,0.37,15.89,83.74,0.0,12.26,87.74,1.15,19.8,79.05,0.42,19.38,80.2,0.93,18.23,80.84,0.97,17.59,81.44,0.72,14.03,85.25,0.6,25.27,74.13,0.25,14.15,85.6,12.07,39.28,47.11,10.57,34.89,52.6,11.65,39.28,48.07,8.01,35.42,55.36,14.77,41.85,41.62,13.62,43.83,41.44,13.78,38.52,45.91,12.44,39.28,46.26,12.32,39.18,46.88,11.28,39.61,47.83,8.94,40.67,49.32,11.81,19.94,63.56,10.26,16.57,68.48,11.22,19.92,66.3,9.13,15.59,70.25,13.59,22.83,59.11,13.41,23.42,58.47,11.42,18.83,64.58,12.33,19.95,61.12,11.11,17.57,65.71,13.95,27.21,56.96,12.52,21.96,61.69,6.54,35.51,57.9,6.01,35.2,58.8,6.03,36.32,57.66,4.08,31.9,64.02,8.18,37.91,53.83,7.09,35.83,56.98,5.46,33.78,60.76,7.0,34.78,58.12,5.72,33.85,60.36,9.05,40.6,50.35,8.51,38.66,52.68,AFG
Albania,9.24,19.47,70.74,8.85,16.51,74.28,8.55,21.73,69.32,6.14,13.17,79.89,11.29,23.66,64.67,9.65,22.58,67.03,5.42,16.15,78.02,9.98,17.02,72.3,6.93,13.57,79.05,12.13,26.88,60.32,22.46,31.57,44.91,28.7,18.52,25.88,26.04,16.67,31.57,28.47,19.8,29.54,24.14,17.68,39.04,31.73,19.08,17.14,31.5,20.47,19.91,26.01,15.83,26.04,28.95,17.13,21.9,25.27,15.68,28.93,33.01,22.08,22.06,38.15,27.71,25.62,26.74,29.35,43.39,23.28,30.13,46.08,29.14,31.28,39.57,14.39,25.78,59.25,34.94,31.72,32.86,30.38,28.53,40.58,21.64,30.66,47.68,24.12,27.25,47.55,21.57,26.64,51.75,33.23,32.75,32.9,44.76,24.38,28.57,19.95,23.96,53.05,19.14,20.74,57.53,18.53,28.96,48.91,12.3,20.64,63.86,25.03,26.17,45.87,20.8,27.35,48.35,12.45,22.81,63.25,21.5,18.52,57.57,16.77,18.31,64.38,23.94,31.07,38.83,45.85,28.35,17.2,ALB
Algeria,19.77,45.99,27.92,15.84,45.99,30.78,17.14,47.73,29.62,11.79,48.21,33.5,25.06,44.52,24.22,23.65,46.0,25.1,17.09,47.96,32.36,22.02,44.51,26.46,19.95,46.06,31.69,19.33,46.16,26.29,26.25,40.86,17.81,42.59,22.06,7.89,43.16,23.0,8.69,39.0,20.65,7.48,28.4,27.49,12.79,51.98,18.46,4.64,42.02,21.13,7.1,43.83,21.13,8.57,45.66,23.27,8.23,43.61,15.43,10.74,42.03,25.24,6.59,40.11,24.44,6.37,32.86,42.08,16.32,31.71,42.35,17.49,27.29,42.87,21.04,24.61,42.31,25.05,38.33,41.93,10.53,34.01,41.82,15.15,28.55,47.69,18.88,37.64,41.41,12.27,27.56,46.94,22.69,35.04,40.01,13.42,43.29,29.39,10.47,38.07,32.3,18.34,37.71,29.87,18.05,32.79,35.04,22.92,34.14,27.49,26.98,40.67,35.49,12.61,38.42,34.7,18.62,35.17,36.03,20.18,42.59,29.95,14.41,34.14,30.95,26.65,39.67,33.07,14.54,45.24,23.9,14.21,DZA
Argentina,26.15,27.1,45.25,21.23,26.5,51.72,23.11,29.53,45.96,17.16,21.38,59.87,32.04,30.85,35.66,30.93,27.68,38.96,28.53,22.69,46.89,33.97,20.85,43.41,21.85,16.2,58.34,28.54,33.15,37.98,16.16,44.74,39.1,40.62,18.88,26.8,37.3,16.96,29.84,41.26,21.88,28.13,28.88,22.26,39.05,48.32,16.67,18.76,43.84,20.76,23.84,40.77,15.96,26.21,38.96,11.19,23.36,37.34,11.37,31.36,42.44,23.05,24.26,39.55,30.59,29.32,25.39,37.34,36.6,20.23,35.05,44.5,22.98,38.34,37.87,13.95,31.26,53.13,32.9,41.32,25.75,30.41,39.56,28.92,26.97,34.49,37.69,31.6,34.75,33.32,22.16,26.25,50.56,27.19,43.49,28.84,18.56,48.87,32.57,27.57,35.38,36.1,25.07,32.14,42.29,25.71,38.33,34.62,21.25,35.04,42.33,31.71,35.59,32.01,29.99,38.52,30.08,29.19,31.1,38.5,32.33,27.79,39.88,28.66,23.38,45.48,26.96,42.04,30.88,20.58,52.55,26.87,ARG
Armenia,24.06,34.19,40.26,19.42,33.33,45.86,26.35,35.13,37.22,14.88,28.61,54.8,30.17,37.9,30.59,29.97,35.29,33.14,21.13,32.19,44.84,19.93,32.5,45.74,20.64,19.52,59.84,24.52,35.97,37.85,36.78,42.7,20.52,31.88,24.15,18.21,28.24,26.0,21.94,29.29,26.94,17.62,26.22,23.38,29.29,35.64,24.67,10.83,36.51,21.8,13.45,30.54,19.7,19.42,36.55,19.12,19.26,19.17,34.2,22.4,33.42,23.07,17.74,37.34,43.16,13.33,34.03,37.89,27.16,29.25,41.93,28.56,35.7,36.88,26.66,18.76,41.22,38.06,44.18,35.68,19.92,40.12,32.75,25.38,32.3,35.5,31.42,31.02,39.72,28.06,17.17,45.68,37.15,35.85,37.07,26.05,41.15,47.84,9.43,39.58,28.84,28.86,35.43,31.67,29.8,41.0,29.05,26.98,29.07,32.79,36.34,46.57,26.21,23.88,44.86,25.23,27.66,34.66,28.54,33.88,37.02,28.45,32.24,34.54,34.3,29.68,40.27,28.29,28.6,61.04,29.98,7.0,ARM
Australia,57.58,28.69,13.16,53.37,31.73,14.13,58.1,31.34,10.14,46.3,29.56,23.01,65.08,28.11,6.61,62.13,25.41,12.11,58.7,27.94,12.88,56.48,23.09,19.55,59.65,6.59,33.76,57.58,29.26,12.56,54.43,28.27,17.29,74.54,10.27,4.1,72.51,9.33,4.8,77.28,12.1,4.1,64.3,13.22,6.4,81.35,8.31,2.58,76.73,11.28,3.36,76.47,7.78,3.79,68.74,6.4,4.11,65.17,7.95,0.0,75.09,10.49,4.08,68.77,22.76,4.39,70.17,22.63,7.2,69.68,23.1,7.22,70.89,23.26,5.86,60.35,28.23,11.42,76.69,18.9,4.4,70.7,22.12,7.18,70.12,23.16,6.72,68.65,21.29,10.06,61.56,14.65,23.79,70.62,22.69,6.68,73.05,16.8,10.15,46.26,38.87,14.31,41.57,41.68,15.99,43.41,42.2,14.14,38.26,39.66,20.68,51.58,38.34,10.09,51.31,35.83,12.51,46.55,38.28,14.69,52.3,31.8,14.69,57.51,15.77,23.63,45.77,39.6,14.16,48.23,40.06,11.71,AUS
Austria,50.73,22.92,12.02,47.5,23.28,15.11,51.15,22.94,10.11,43.84,26.05,12.73,55.32,20.84,11.54,54.15,22.54,8.74,51.26,23.82,12.31,50.13,22.89,14.78,48.46,25.05,10.91,50.96,22.71,12.12,44.01,15.51,9.81,63.37,8.31,4.43,63.95,7.68,4.67,64.8,9.45,4.76,61.18,6.31,4.88,64.82,9.65,4.14,62.75,8.98,4.19,62.79,7.83,4.23,61.28,6.67,3.97,70.43,4.71,5.56,62.67,8.67,4.32,67.31,13.08,6.54,67.03,13.87,8.27,65.93,13.66,10.19,67.65,14.04,7.04,60.58,13.74,10.2,71.32,13.95,6.98,68.19,14.08,6.24,68.29,13.78,6.93,66.13,13.61,10.06,71.85,13.1,0.0,66.56,13.94,9.08,54.09,15.24,20.87,45.41,32.36,9.17,43.58,33.47,8.88,44.47,33.74,8.62,45.45,30.93,6.93,45.37,33.32,10.67,47.34,31.19,9.48,44.72,33.1,9.5,46.76,30.35,9.98,29.65,28.72,15.49,46.95,32.72,8.55,50.15,26.96,6.54,AUT
Azerbaijan,14.77,20.43,56.41,12.91,19.56,60.95,13.88,17.37,58.61,10.66,14.13,70.06,17.49,24.61,47.35,16.85,21.4,51.3,13.27,17.48,63.42,15.59,23.28,54.35,39.08,14.8,37.06,9.91,21.56,60.25,19.47,29.38,34.8,23.69,14.78,28.34,23.86,13.33,32.51,21.92,11.39,26.74,18.13,13.58,43.94,27.38,15.59,17.98,23.5,16.42,23.65,20.92,12.13,31.4,25.35,17.95,29.83,44.06,13.13,19.89,19.6,15.12,30.03,32.12,22.49,19.26,20.49,24.31,49.13,19.64,22.59,53.44,19.66,25.33,48.22,15.5,17.1,65.47,23.8,29.09,38.3,21.45,26.24,44.3,18.47,23.1,53.88,21.26,23.35,49.99,40.06,14.81,36.45,16.59,26.21,51.65,26.62,27.69,34.95,23.39,21.16,42.3,22.2,21.31,45.74,21.39,21.66,42.55,18.03,19.3,57.27,26.94,22.4,32.36,24.72,21.0,38.42,20.78,19.67,50.49,25.25,20.7,42.06,40.65,9.89,32.11,19.94,23.42,44.31,31.58,25.11,17.51,AZE
Bangladesh,11.9,23.3,63.94,9.78,18.46,70.59,12.59,27.3,59.75,7.11,19.22,73.01,15.09,26.02,57.89,14.18,28.52,56.79,12.66,21.68,64.76,11.3,19.88,67.53,11.08,19.43,68.2,12.41,25.65,61.33,9.71,27.96,61.58,23.21,22.66,45.65,19.45,17.83,54.13,26.6,25.28,41.14,15.62,22.62,53.86,28.27,22.69,40.17,27.25,27.86,36.52,22.83,22.5,46.09,20.3,20.42,49.51,23.15,15.9,49.22,23.31,26.42,43.68,24.3,23.14,44.38,17.71,26.01,54.6,15.1,22.04,60.96,17.9,29.4,50.61,12.3,20.95,65.55,21.31,29.39,47.3,20.51,30.29,47.76,16.98,26.42,54.59,17.55,23.11,58.02,15.43,23.09,58.56,19.1,27.81,52.14,19.81,24.86,54.62,18.24,25.55,54.75,16.1,20.32,61.64,19.5,27.71,51.68,13.18,22.08,63.89,21.61,27.86,48.65,20.54,31.17,47.34,18.41,23.44,57.39,17.16,23.69,57.37,16.52,19.44,62.19,19.31,29.21,50.24,17.76,31.59,47.15,BGD
Belgium,52.82,32.54,14.05,46.79,36.14,16.32,51.61,34.11,13.92,43.85,35.38,20.47,58.79,30.64,9.78,59.08,28.79,11.69,51.99,32.94,14.38,54.27,30.61,14.23,27.9,42.81,28.16,54.01,32.15,13.38,57.79,30.09,12.12,69.07,12.43,5.98,65.55,11.32,8.23,69.78,15.46,6.25,62.03,19.63,10.93,73.75,7.65,2.69,72.73,13.59,3.65,68.89,11.1,5.62,68.14,8.66,5.65,48.89,22.75,18.47,70.36,11.87,5.32,70.03,21.47,8.51,65.89,22.96,10.58,64.04,23.47,12.0,63.73,26.02,9.76,51.65,30.53,17.24,75.36,17.93,6.15,67.81,22.44,9.11,65.48,23.74,10.36,68.54,19.17,11.63,36.14,30.32,32.34,67.52,22.46,9.48,68.97,18.23,11.53,43.68,39.04,16.58,37.26,40.24,21.47,38.96,42.08,18.77,37.32,37.21,24.99,47.91,40.26,10.99,50.35,37.8,11.51,41.69,39.85,17.66,49.51,35.3,13.87,24.85,45.19,27.64,44.42,38.88,16.21,57.34,33.63,9.04,BEL
